,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,9864,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19221843.0,19221843.0,,1,,,,2022-12-01T19:09:00.000Z,16931.89784920595,25809318868.630737,-1.9273,-0.27344766,-0.25830436,2.12943223,-17.29826064,-12.00459219,-15.23025899,325462282149.4744,38.142,355569854833.32,,2022-12-01T19:09:00.000Z,,,,,,2022-12-01 19:11:17.086910
1,1027,Ethereum,ETH,ethereum,6244,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373866.2178,122373866.2178,,2,,,,2022-12-01T19:09:00.000Z,1273.9251755683072,7926923958.458496,-9.6402,-0.13719064,-0.69419131,5.91808372,-19.55567745,-1.8859867,-19.40912656,155895149006.4834,18.2738,155895149006.48,,2022-12-01T19:09:00.000Z,,,,,,2022-12-01 19:11:17.086910
2,825,Tether,USDT,tether,43480,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,65362681003.3144,73141766321.23428,,3,,,,2022-12-01T19:09:00.000Z,1.0000319933985309,33523794992.727406,-0.2652,-0.00090623,0.00616939,0.06230882,0.01108205,0.00091619,-0.00515969,65364772177.61678,7.662,73144106374.91,,2022-12-01T19:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-12-01 19:11:17.086910
3,1839,BNB,BNB,bnb,1148,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain']",200000000.0,159970489.96763322,159979963.59042934,,4,,,,2022-12-01T19:09:00.000Z,291.5795905191113,1492799430.8422954,62.0738,-0.18909149,-2.40650978,-2.54984648,-10.26452287,2.28873111,5.03141518,46644129959.9041,5.4685,58315918103.82,,2022-12-01T19:09:00.000Z,,,,,,2022-12-01 19:11:17.086910
4,3408,USD Coin,USDC,usd-coin,8110,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,43080698920.59752,43080698920.59752,,5,,,,2022-12-01T19:09:00.000Z,0.9999204647803182,2857030274.873865,-5.12,-0.02505463,-0.02876552,-0.02045704,-0.01816712,-0.00986134,-0.00835423,43077272487.74482,5.0495,43077272487.74,,2022-12-01T19:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-12-01 19:11:17.086910
5,4687,Binance USD,BUSD,binance-usd,5652,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin']",,22234030899.889256,22234030899.889256,,6,,,,2022-12-01T19:09:00.000Z,0.9998127491923409,8406926407.451862,6.782,-0.04316915,-0.028147,-0.08344969,-0.00409422,-0.05183132,-0.02162275,22229867559.645733,2.6058,22229867559.65,,2022-12-01T19:09:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-12-01 19:11:17.086910
6,52,XRP,XRP,xrp,852,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,50290028663.0,99989207174.0,,7,,,,2022-12-01T19:09:00.000Z,0.3960636357521969,832318111.1430533,-10.1108,-0.32958491,-1.45348803,-0.47290255,-14.45469548,-14.01838695,20.58420641,19918051594.34997,2.3347,39606363575.22,,2022-12-01T19:09:00.000Z,,,,,,2022-12-01 19:11:17.086910
7,74,Dogecoin,DOGE,dogecoin,606,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,8,,,,2022-12-01T19:09:00.000Z,0.10153108215076112,1042347036.1926332,-15.5772,-0.58951124,-2.01651181,24.82122265,-27.5039103,68.92399222,65.05849435,13470206269.136812,1.5792,13470206269.14,,2022-12-01T19:09:00.000Z,,,,,,2022-12-01 19:11:17.086910
8,2010,Cardano,ADA,cardano,601,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34446662741.285,35193805106.495,,9,,,,2022-12-01T19:09:00.000Z,0.31501419395174884,231518870.2588645,-3.563,-0.28758302,0.08624958,-0.15575249,-22.02330883,-26.09762033,-30.69189584,10851187697.773634,1.2719,14175638727.83,,2022-12-01T19:09:00.000Z,,,,,,2022-12-01 19:11:17.086910
9,3890,Polygon,MATIC,polygon,538,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,8734317475.28493,10000000000.0,,10,,,,2022-12-01T19:09:00.000Z,0.9199512018827373,563166175.9659103,60.453,-0.66227237,2.94324144,8.13757025,4.28938854,18.45331717,5.31114101,8035145859.013766,0.942,9199512018.83,,2022-12-01T19:09:00.000Z,,,,,,2022-12-01 19:11:17.086910
